,0,,,,,,,,x,y
,,,,,,,,,10.874,0.473767218
,,,,,,,,,10.947,0.473767218
,,,,,,,,,10.979,0.473767218
,,,,,,,,,11.017,0.750062423
,,,,,,,,,11.019,0.5
,,,,,,,,,11.139,0.473767218
,,,,,,,,,11.305,0.473767218
,,,,,,,,,11.625,0.143392411
,,,,,,,,,11.641,0.473767218
,,,,,,,,,11.658,0.473767218
,,,,,,,,,12.423,0.473767218
,,,,,,,,,12.906,0.473767218
,,,,,,,,,13.082,0.473767218
,,,,,,,,,13.579,0.5
,,,,,,,,,13.62,0.473767218
,,,,,,,,,13.882,0.750062423
,,,,,,,,,14.452,0.473767218
,,,,,,,,,14.659,0.473767218
,,,,,,,,,14.673,0.447678459
,,,,,,,,,14.939,0.526232782
,,,,,,,,,15.072,0.473767218
,,,,,,,,,15.12,0.473767218
,,,,,,,,,15.418,0.473767218
,,,,,,,,,15.459,0.473767218
,,,,,,,,,15.485,0.803110875
,,,,,,,,,15.517,0.526232782
,,,,,,,,,15.699,0.473767218
,,,,,,,,,15.778,0.5
,,,,,,,,,15.818,0.5
,,,,,,,,,15.839,0.473767218
,,,,,,,,,15.957,0.473767218
,,,,,,,,,16.233,0.473767218
,,,,,,,,,16.379,0.843695179
,,,,,,,,,16.479,0.8
,,,,,,,,,16.939,1.944811898
,,,,,,,,,17.05,0.473767218
,,,,,,,,,17.189,0.473767218
,,,,,,,,,17.502,0.473767218
,,,,,,,,,17.681,0.473767218
,,,,,,,,,17.799,0.473767218
,,,,,,,,,18.126,0.473767218
,,,,,,,,,18.139,0.473767218
,,,,,,,,,18.458,0.473767218
,,,,,,,,,18.459,0.473767218
,,,,,,,,,18.579,0.999789639
,,,,,,,,,18.585,0.473767218
,,,,,,,,,18.642,0.473767218
,,,,,,,,,18.765,0.473767218
,,,,,,,,,18.879,0.843695179
,,,,,,,,,19.019,0.473767218
,,,,,,,,,19.85,0.473767218
,,,,,,,,,19.954,0.854056104
,,,,,,,,,20.177,0.473767218
,,,,,,,,,20.419,0.473767218
,,,,,,,,,20.739,0.971504448
,,,,,,,,,20.939,0.473767218
,,,,,,,,,20.999,0.634048304
